experiment,step,epoch,token_avg_loss,loss,eval_loss,grad_norm,learning_rate,mean_reward,max_reward,min_reward,reward_std,pg_loss,kl_penalty,grad_norm_lora,grad_norm_multimodal,completion_mean_length,format_bonus,plddt,quality_alignment,numerical_accuracy,category_match,focal_weight
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,10,0.0010366454154356502,3.2968,14.0037,,7.598205089569092,1.8e-05,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,20,0.0020732908308713003,2.4675,10.7019,,4.578925132751465,3.8e-05,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,30,0.0031099362463069507,2.0685,8.091,,2.9319872856140137,5.8e-05,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,40,0.004146581661742601,1.6048,6.1851,,1.9611071348190308,7.800000000000001e-05,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,50,0.005183227077178251,1.2563,4.9456,,1.1051414012908936,9.8e-05,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,60,0.0062198724926139015,1.1294,4.3119,,1.1458438634872437,0.000118,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,70,0.007256517908049552,1.0829,4.0224,,2.0976338386535645,0.000138,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,80,0.008293163323485201,0.9478,3.5449,,1.2269999980926514,0.00015800000000000002,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,90,0.009329808738920852,0.9466,3.3865,,0.9476935863494873,0.00017800000000000002,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,100,0.010366454154356502,0.9421,3.2921,,1.571097731590271,0.00019800000000000002,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,110,0.011403099569792153,0.7994,3.0191,,0.8391125202178955,0.00019999995194549538,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,120,0.012439744985227803,0.8119,3.1014,,0.7268391847610474,0.00019999978583121766,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,130,0.013476390400663453,0.8186,2.9216,,0.9109889268875122,0.0001999995010640984,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,140,0.014513035816099104,0.7743,2.8212,,0.7608497738838196,0.00019999909764447553,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,150,0.015549681231534754,0.7378,2.8312,,0.7619828581809998,0.0001999985755728277,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,160,0.016586326646970403,0.715,2.6433,,0.97300124168396,0.00019999793484977435,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,170,0.017622972062406053,0.7624,2.6854,,0.8970531821250916,0.00019999717547607574,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,180,0.018659617477841704,0.7968,2.7005,,1.0275262594223022,0.00019999629745263287,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,190,0.019696262893277354,0.6467,2.5376,,1.0152090787887573,0.00019999530078048755,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,200,0.020732908308713004,0.7328,2.6158,,1.00901198387146,0.00019999418546082237,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,210,0.021769553724148655,0.729,2.5923,,0.9876882433891296,0.00019999295149496064,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,220,0.022806199139584305,0.6494,2.4528,,0.8306147456169128,0.00019999159888436658,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,230,0.023842844555019956,0.7393,2.549,,0.8438383340835571,0.00019999012763064505,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,240,0.024879489970455606,0.5908,2.3879,,0.9675758481025696,0.00019998853773554176,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,250,0.025916135385891256,0.6671,2.4462,,0.74718177318573,0.00019998682920094318,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,250,0.025916135385891256,0.8358,,0.6687129139900208,,,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,260,0.026952780801326907,0.6663,2.5135,,1.0736438035964966,0.00019998500202887651,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,270,0.027989426216762557,0.5981,2.317,,0.8767987489700317,0.00019998305622150975,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,280,0.029026071632198207,0.674,2.3539,,0.8951513171195984,0.00019998099178115172,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,290,0.030062717047633858,0.5849,2.3343,,1.0061440467834473,0.00019997880871025183,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,300,0.03109936246306951,0.6552,2.3348,,0.8502384424209595,0.00019997650701140046,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,310,0.03213600787850516,0.6989,2.4276,,0.9384231567382812,0.00019997408668732857,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,320,0.033172653293940806,0.5614,2.2103,,0.9951086640357971,0.00019997154774090804,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,330,0.03420929870937646,0.6702,2.2929,,0.9693378210067749,0.00019996889017515133,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,340,0.035245944124812106,0.6375,2.3792,,0.7821496725082397,0.00019996611399321178,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,350,0.03628258954024776,0.6132,2.1634,,0.8746756315231323,0.00019996321919838334,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,360,0.03731923495568341,0.6782,2.3439,,0.8419066071510315,0.00019996020579410084,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,370,0.03835588037111906,0.5353,2.1935,,0.9604744911193848,0.0001999570737839398,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,380,0.03939252578655471,0.6343,2.2549,,0.8120729923248291,0.00019995382317161635,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,390,0.04042917120199036,0.6512,2.251,,0.8403823971748352,0.00019995045396098754,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,400,0.04146581661742601,0.5558,2.1639,,0.7751495838165283,0.000199946966156051,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,410,0.04250246203286166,0.6324,2.2611,,0.8064130544662476,0.00019994335976094508,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,420,0.04353910744829731,0.6393,2.1521,,0.8495028614997864,0.00019993963477994898,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,430,0.04457575286373296,0.5754,2.1776,,0.7848242521286011,0.00019993579121748242,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,440,0.04561239827916861,0.6721,2.1916,,0.7729842066764832,0.0001999318290781059,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,450,0.04664904369460426,0.541,2.1087,,0.8105106353759766,0.00019992774836652066,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,460,0.04768568911003991,0.6374,2.1219,,0.7091825604438782,0.00019992354908756862,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,470,0.04872233452547556,0.6142,2.1816,,0.7764213681221008,0.00019991923124623227,,,,,,,,,,,,,,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,480,0.04975897994091121,0.5312,2.0824,,0.8285860419273376,0.00019991479484763493,,,,,,,,,,,,,,,
